region,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible,date,date_debut
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 13:30:00,2013-06-28 13:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 14:00:00,2013-06-28 14:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 14:30:00,2013-06-28 14:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 15:00:00,2013-06-28 15:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 15:30:00,2013-06-28 15:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 16:00:00,2013-06-28 16:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 16:30:00,2013-06-28 16:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 17:00:00,2013-06-28 17:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 17:30:00,2013-06-28 17:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 18:00:00,2013-06-28 18:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 18:30:00,2013-06-28 18:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 19:00:00,2013-06-28 19:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 19:30:00,2013-06-28 19:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 20:00:00,2013-06-28 20:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 20:30:00,2013-06-28 20:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 21:00:00,2013-06-28 21:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 21:30:00,2013-06-28 21:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 22:00:00,2013-06-28 22:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 22:30:00,2013-06-28 22:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 23:00:00,2013-06-28 23:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 23:30:00,2013-06-28 23:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 00:00:00,2013-06-29 00:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 00:30:00,2013-06-29 00:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 01:00:00,2013-06-29 01:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 01:30:00,2013-06-29 01:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 02:00:00,2013-06-29 02:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 02:30:00,2013-06-29 02:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 03:00:00,2013-06-29 03:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 03:30:00,2013-06-29 03:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 04:00:00,2013-06-29 04:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 04:30:00,2013-06-29 04:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 05:00:00,2013-06-29 05:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 05:30:00,2013-06-29 05:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 06:00:00,2013-06-29 06:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 06:30:00,2013-06-29 06:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 07:00:00,2013-06-29 07:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 07:30:00,2013-06-29 07:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 08:00:00,2013-06-29 08:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 15:30:00,2013-07-03 15:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 16:00:00,2013-07-03 16:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 16:30:00,2013-07-03 16:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 18:30:00,2013-07-03 18:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 19:00:00,2013-07-03 19:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 19:30:00,2013-07-03 19:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 20:00:00,2013-07-03 20:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 20:30:00,2013-07-03 20:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-03 21:00:00,2013-07-03 21:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 15:30:00,2013-07-03 15:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 16:00:00,2013-07-03 16:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 16:30:00,2013-07-03 16:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 18:30:00,2013-07-03 18:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 19:00:00,2013-07-03 19:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 19:30:00,2013-07-03 19:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 20:00:00,2013-07-03 20:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 20:30:00,2013-07-03 20:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,320.0,260.0,2013-07-03 21:00:00,2013-07-03 21:00:00
NORMANDIE,thermique,17W100P100P0023X,580.0,330.0,250.0,2013-07-15 18:30:00,2013-07-15 18:30:00
NORMANDIE,thermique,17W100P100P0023X,580.0,0.0,580.0,2013-07-15 18:30:00,2013-07-15 18:30:00
NORMANDIE,nucleaire,17W100P100P0142P,1330.0,100.0,1230.0,2013-07-18 22:00:00,2013-07-18 22:00:00
NORMANDIE,nucleaire,17W100P100P0142P,1330.0,0.0,1330.0,2013-07-18 22:00:00,2013-07-18 22:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 16:00:00,2013-07-24 16:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 16:30:00,2013-07-24 16:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 17:00:00,2013-07-24 17:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 17:30:00,2013-07-24 17:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 18:00:00,2013-07-24 18:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 18:30:00,2013-07-24 18:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 19:00:00,2013-07-24 19:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 19:30:00,2013-07-24 19:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 20:00:00,2013-07-24 20:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 20:30:00,2013-07-24 20:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 21:00:00,2013-07-24 21:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 21:30:00,2013-07-24 21:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 22:00:00,2013-07-24 22:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 22:30:00,2013-07-24 22:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 23:00:00,2013-07-24 23:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-24 23:30:00,2013-07-24 23:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 00:00:00,2013-07-25 00:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 00:30:00,2013-07-25 00:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 01:00:00,2013-07-25 01:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 01:30:00,2013-07-25 01:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 02:00:00,2013-07-25 02:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 02:30:00,2013-07-25 02:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 03:00:00,2013-07-25 03:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 03:30:00,2013-07-25 03:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 04:00:00,2013-07-25 04:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 04:30:00,2013-07-25 04:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 05:00:00,2013-07-25 05:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 05:30:00,2013-07-25 05:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 06:00:00,2013-07-25 06:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 06:30:00,2013-07-25 06:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 07:00:00,2013-07-25 07:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 07:30:00,2013-07-25 07:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 08:00:00,2013-07-25 08:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 08:30:00,2013-07-25 08:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 09:00:00,2013-07-25 09:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 09:30:00,2013-07-25 09:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 10:00:00,2013-07-25 10:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 10:30:00,2013-07-25 10:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 11:00:00,2013-07-25 11:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 11:30:00,2013-07-25 11:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 12:00:00,2013-07-25 12:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 12:30:00,2013-07-25 12:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 13:00:00,2013-07-25 13:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 13:30:00,2013-07-25 13:30:00
