region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
OCCITANIE,2021-03-19 06:30:00,2021,78,06:30:00,78.27,77.0,2600.0,560.0,0.0,1871.0,92.0,0.0,-22.0,0.0,0.0,318.0,318.0,2620.0,2620.0,1593.0,2492.0,5499.0,5266.0,172.0,172.0,6022176
PAYS DE LA LOIRE,2022-12-27 16:00:00,2022,361,16:00:00,361.67,130.0,0.0,435.0,66.0,6.0,56.0,0.0,2468.0,0.0,0.0,2068.0,1908.0,0.0,0.0,1707.0,940.0,10.0,10.0,80.0,80.0,3878839
BOURGOGNE FRANCHE COMTE,2021-09-03 17:30:00,2021,246,17:30:00,246.73,53.0,0.0,9.0,127.0,21.0,31.0,0.0,1942.0,0.0,0.0,401.0,401.0,0.0,0.0,969.0,462.0,524.0,524.0,72.0,72.0,2800194
NORMANDIE,2015-01-16 21:30:00,2015,16,21:30:00,16.9,419.0,10371.0,67.0,0.0,16.0,64.0,0.0,-6567.0,0.0,0.0,761.0,181.0,10640.0,10640.0,496.0,214.0,24.0,24.0,91.0,91.0,3339131
PAYS DE LA LOIRE,2017-09-29 00:00:00,2017,272,00:00:00,272.0,492.0,0.0,53.0,0.0,0.0,49.0,0.0,2293.0,0.0,0.0,1921.0,1325.0,0.0,0.0,735.0,506.0,8.0,8.0,66.0,66.0,3757600
CENTRE VAL DE LOIRE,2016-07-31 22:30:00,2016,213,22:30:00,213.94,0.0,5441.0,136.0,0.0,1.0,51.0,0.0,-4101.0,0.0,0.0,170.0,170.0,11630.0,10648.0,886.0,258.0,91.0,91.0,71.0,71.0,2577866
PROVENCE ALPES COTE D AZUR,2016-01-13 10:00:00,2016,13,10:00:00,13.42,1027.0,0.0,4.0,242.0,1071.0,85.0,0.0,3668.0,0.0,0.0,2614.0,2240.0,0.0,0.0,48.0,984.0,3178.0,3054.0,204.0,204.0,5021928
HAUTS DE FRANCE,2014-04-16 01:00:00,2014,106,01:00:00,106.04,267.0,2621.0,509.0,0.0,1.0,58.0,0.0,2372.0,0.0,0.0,2278.0,2278.0,5460.0,5460.0,2296.0,211.0,5.0,5.0,139.0,139.0,6006156
AUVERGNE RHONE ALPES,2018-06-12 00:00:00,2018,163,00:00:00,163.0,20.0,8925.0,42.0,0.0,4931.0,118.0,-17.0,-7496.0,0.0,0.0,1000.0,1000.0,13570.0,12617.0,578.0,1053.0,11260.0,11080.0,179.0,179.0,7994459
AUVERGNE RHONE ALPES,2018-04-03 10:00:00,2018,93,10:00:00,93.42,22.0,8916.0,353.0,158.0,4916.0,103.0,-3.0,-5272.0,0.0,0.0,1000.0,1000.0,13570.0,12580.0,578.0,1026.0,11259.0,11076.0,179.0,179.0,7994459
BRETAGNE,2013-05-29 05:30:00,2013,149,05:30:00,149.23,0.0,0.0,110.0,0.0,156.0,17.0,0.0,1712.0,0.0,0.0,658.0,658.0,0.0,0.0,722.0,204.0,11.0,11.0,37.0,37.0,3258707
PAYS DE LA LOIRE,2020-04-05 23:30:00,2020,96,23:30:00,96.98,8.0,0.0,269.0,0.0,4.0,54.0,0.0,2345.0,0.0,0.0,2050.0,1953.0,0.0,0.0,989.0,635.0,10.0,10.0,76.0,76.0,3832120
PROVENCE ALPES COTE D AZUR,2013-07-17 09:00:00,2013,198,09:00:00,198.38,296.0,0.0,0.0,149.0,1223.0,69.0,0.0,2768.0,0.0,0.0,2590.0,2316.0,0.0,0.0,45.0,717.0,3158.0,3158.0,151.0,151.0,4953675
BOURGOGNE FRANCHE COMTE,2019-03-18 05:00:00,2019,77,05:00:00,77.21,112.0,0.0,210.0,0.0,254.0,46.0,-2.0,1780.0,0.0,0.0,401.0,401.0,0.0,0.0,800.0,332.0,520.0,410.0,66.0,66.0,2805580
PROVENCE ALPES COTE D AZUR,2017-04-27 21:30:00,2017,117,21:30:00,117.9,1697.0,0.0,13.0,0.0,877.0,97.0,0.0,2173.0,0.0,0.0,2630.0,2284.0,0.0,0.0,48.0,1076.0,3193.0,3193.0,354.0,354.0,5030890
PROVENCE ALPES COTE D AZUR,2018-02-17 21:00:00,2018,48,21:00:00,48.88,1866.0,0.0,21.0,0.0,1404.0,232.0,0.0,2228.0,0.0,0.0,2651.0,2345.0,0.0,0.0,48.0,1223.0,3227.0,3227.0,357.0,357.0,5052832
OCCITANIE,2019-12-07 23:30:00,2019,341,23:30:00,341.98,89.0,2575.0,411.0,0.0,1200.0,94.0,-8.0,900.0,0.0,0.0,308.0,308.0,2620.0,2620.0,1570.0,2155.0,5489.0,5302.0,146.0,146.0,5933185
OCCITANIE,2013-11-08 23:30:00,2013,312,23:30:00,312.98,53.0,1124.0,489.0,0.0,1426.0,85.0,0.0,848.0,0.0,0.0,251.0,0.0,2620.0,1310.0,889.0,1167.0,5391.0,5391.0,126.0,126.0,5683878
BOURGOGNE FRANCHE COMTE,2016-07-10 21:30:00,2016,192,21:30:00,192.9,26.0,0.0,92.0,0.0,41.0,22.0,0.0,1747.0,0.0,0.0,329.0,329.0,0.0,0.0,426.0,264.0,513.0,513.0,30.0,30.0,2818338
CENTRE VAL DE LOIRE,2018-08-13 14:00:00,2018,225,14:00:00,225.58,0.0,7488.0,400.0,93.0,0.0,59.0,0.0,-6272.0,0.0,0.0,216.0,216.0,11630.0,10786.0,1036.0,298.0,91.0,91.0,76.0,76.0,2572853
PROVENCE ALPES COTE D AZUR,2013-01-02 17:00:00,2013,2,17:00:00,2.71,361.0,0.0,39.0,13.0,1547.0,35.0,0.0,3790.0,0.0,0.0,2590.0,2528.0,0.0,0.0,45.0,667.0,3158.0,3158.0,149.0,149.0,4953675
HAUTS DE FRANCE,2022-05-19 11:00:00,2022,139,11:00:00,139.46,754.0,3643.0,1669.0,119.0,2.0,112.0,0.0,-899.0,0.0,0.0,2993.0,2494.0,5460.0,4550.0,5774.0,442.0,6.0,6.0,196.0,196.0,5990765
